content,score,at,translated_content,cleaned_content,tokenized_content,stopword_removed_content,stemmed_content,sentiment_score,predicted_rating,sentiment_category,ulasan_bersih
Baru berlangganan lagi mau nonton tapi gak bisa selalu loading tpi giliran trialernya bisa dibuka..gmna ini sia2 dong langganan tpi gak bisa nonton sma sekali..lumayan bngt 39rb melayang gitu aja niat hati pngn liburan tpi malah loading muter2 parahh,2,2022-11-17 11:00:57,Baru berlangganan lagi mau nonton tapi gak bisa selalu loading tpi giliran trialernya bisa dibuka..gmna ini sia2 dong langganan tpi gak bisa nonton sma sekali..lumayan bngt 39rb melayang gitu aja niat hati pngn liburan tpi malah loading muter2 parahh,baru berlangganan lagi mau nonton tapi gak bisa selalu loading tpi giliran trialernya bisa dibukagmna ini sia dong langganan tpi gak bisa nonton sma sekalilumayan bngt rb melayang gitu aja niat hati pngn liburan tpi malah loading muter parahh,"['baru', 'berlangganan', 'lagi', 'mau', 'nonton', 'tapi', 'gak', 'bisa', 'selalu', 'loading', 'tpi', 'giliran', 'trialernya', 'bisa', 'dibukagmna', 'ini', 'sia', 'dong', 'langganan', 'tpi', 'gak', 'bisa', 'nonton', 'sma', 'sekalilumayan', 'bngt', 'rb', 'melayang', 'gitu', 'aja', 'niat', 'hati', 'pngn', 'liburan', 'tpi', 'malah', 'loading', 'muter', 'parahh']","['berlangganan', 'nonton', 'gak', 'loading', 'tpi', 'giliran', 'trialernya', 'dibukagmna', 'sia', 'langganan', 'tpi', 'gak', 'nonton', 'sma', 'sekalilumayan', 'bngt', 'rb', 'melayang', 'gitu', 'aja', 'niat', 'hati', 'pngn', 'liburan', 'tpi', 'loading', 'muter', 'parahh']","['langgan', 'nonton', 'gak', 'loading', 'tpi', 'gilir', 'trialernya', 'dibukagmna', 'sia', 'langgan', 'tpi', 'gak', 'nonton', 'sma', 'sekalilumayan', 'bngt', 'rb', 'layang', 'gitu', 'aja', 'niat', 'hati', 'pngn', 'libur', 'tpi', 'loading', 'muter', 'parahh']",1,4,Positif,langgan nonton gak loading tpi gilir trialernya dibukagmna sia langgan tpi gak nonton sma sekalilumayan bngt rb layang gitu aja niat hati pngn libur tpi loading muter parahh
Kenapa kok gak bs dibuka yah loading terus. Gak bs pake paket data dan Wifi. Aplikasi lain tidak ada masalah,1,2022-11-17 06:05:43,Kenapa kok gak bs dibuka yah loading terus. Gak bs pake paket data dan Wifi. Aplikasi lain tidak ada masalah,kenapa kok gak bs dibuka yah loading terus gak bs pake paket data dan wifi aplikasi lain tidak ada masalah,"['kenapa', 'kok', 'gak', 'bs', 'dibuka', 'yah', 'loading', 'terus', 'gak', 'bs', 'pake', 'paket', 'data', 'dan', 'wifi', 'aplikasi', 'lain', 'tidak', 'ada', 'masalah']","['gak', 'bs', 'dibuka', 'yah', 'loading', 'gak', 'bs', 'pake', 'paket', 'data', 'wifi', 'aplikasi']","['gak', 'bs', 'buka', 'yah', 'loading', 'gak', 'bs', 'pake', 'paket', 'data', 'wifi', 'aplikasi']",-6,1,Negatif,gak bs buka yah loading gak bs pake paket data wifi aplikasi
"ini kenapa ya disneyy?! ""Something went wrong"" terusss, pdahal sinyal lancar-lancar aja, buat nge-game juga lancar, berkali-kali aku coba buka ttep kek gitu, gaada gambar sama sekali, padahal baru beli paket premium. Mengecewakan. tolong segera diperbaiki, atau minimal kasih solusi. terimakasih.",3,2022-11-17 04:38:19,"ini kenapa ya disneyy?! ""Something went wrong"" terusss, pdahal sinyal lancar-lancar aja, buat nge-game juga lancar, berkali-kali aku coba buka ttep kek gitu, gaada gambar sama sekali, padahal baru beli paket premium. Mengecewakan. tolong segera diperbaiki, atau minimal kasih solusi. terimakasih.",ini kenapa ya disneyy something went wrong terusss pdahal sinyal lancarlancar aja buat ngegame juga lancar berkalikali aku coba buka ttep kek gitu gaada gambar sama sekali padahal baru beli paket premium mengecewakan tolong segera diperbaiki atau minimal kasih solusi terimakasih,"['ini', 'kenapa', 'ya', 'disneyy', 'something', 'went', 'wrong', 'terusss', 'pdahal', 'sinyal', 'lancarlancar', 'aja', 'buat', 'ngegame', 'juga', 'lancar', 'berkalikali', 'aku', 'coba', 'buka', 'ttep', 'kek', 'gitu', 'gaada', 'gambar', 'sama', 'sekali', 'padahal', 'baru', 'beli', 'paket', 'premium', 'mengecewakan', 'tolong', 'segera', 'diperbaiki', 'atau', 'minimal', 'kasih', 'solusi', 'terimakasih']","['ya', 'disneyy', 'something', 'went', 'wrong', 'terusss', 'pdahal', 'sinyal', 'lancarlancar', 'aja', 'ngegame', 'lancar', 'berkalikali', 'coba', 'buka', 'ttep', 'kek', 'gitu', 'gaada', 'gambar', 'beli', 'paket', 'premium', 'mengecewakan', 'tolong', 'diperbaiki', 'minimal', 'kasih', 'solusi', 'terimakasih']","['ya', 'disneyy', 'something', 'went', 'wrong', 'terusss', 'pdahal', 'sinyal', 'lancarlancar', 'aja', 'ngegame', 'lancar', 'berkalikali', 'coba', 'buka', 'ttep', 'kek', 'gitu', 'gaada', 'gambar', 'beli', 'paket', 'premium', 'kecewa', 'tolong', 'baik', 'minimal', 'kasih', 'solusi', 'terimakasih']",-3,2,Negatif,ya disneyy something went wrong terusss pdahal sinyal lancarlancar aja ngegame lancar berkalikali coba buka ttep kek gitu gaada gambar beli paket premium kecewa tolong baik minimal kasih solusi terimakasih
"Semenjak di perbarui malah gak bisa nonton, keterangannya NL-4030. Cacat produk.",1,2022-11-16 17:39:27,"Semenjak di perbarui malah gak bisa nonton, keterangannya NL-4030. Cacat produk.",semenjak di perbarui malah gak bisa nonton keterangannya nl cacat produk,"['semenjak', 'di', 'perbarui', 'malah', 'gak', 'bisa', 'nonton', 'keterangannya', 'nl', 'cacat', 'produk']","['semenjak', 'perbarui', 'gak', 'nonton', 'keterangannya', 'nl', 'cacat', 'produk']","['semenjak', 'baru', 'gak', 'nonton', 'terang', 'nl', 'cacat', 'produk']",-5,1,Negatif,semenjak baru gak nonton terang nl cacat produk
Ini gimana ya kok saya gbsa login padahal sudah langganan! Tolong donk kok g bisa kirim kode buat buka!,1,2022-11-16 17:34:14,Di sinilah login GBSA saya berlangganan! Tolong Donk Kok Ga bisa kirim kodenya untuk dibuka!,di sinilah login gbsa saya berlangganan tolong donk kok ga bisa kirim kodenya untuk dibuka,"['di', 'sinilah', 'login', 'gbsa', 'saya', 'berlangganan', 'tolong', 'donk', 'kok', 'ga', 'bisa', 'kirim', 'kodenya', 'untuk', 'dibuka']","['login', 'gbsa', 'berlangganan', 'tolong', 'donk', 'ga', 'kirim', 'kodenya', 'dibuka']","['login', 'gbsa', 'langgan', 'tolong', 'donk', 'ga', 'kirim', 'kode', 'buka']",-4,2,Negatif,login gbsa langgan tolong donk ga kirim kode buka
"Cek x,, 🥑🥑",1,2022-11-16 17:13:03,"Cek x,, 🥑🥑",cek x 🥑🥑,"['cek', 'x', '🥑🥑']","['cek', 'x', '🥑🥑']","['cek', 'x', '']",-4,2,Negatif,cek x 
Pliss kenapa disney gada di tv smart punya samsung ?? Kerjasama dong sma tizen biar nambah keren smart tv gw,5,2022-11-16 14:42:38,Pliss kenapa disney gada di tv smart punya samsung ?? Kerjasama dong sma tizen biar nambah keren smart tv gw,pliss kenapa disney gada di tv smart punya samsung kerjasama dong sma tizen biar nambah keren smart tv gw,"['pliss', 'kenapa', 'disney', 'gada', 'di', 'tv', 'smart', 'punya', 'samsung', 'kerjasama', 'dong', 'sma', 'tizen', 'biar', 'nambah', 'keren', 'smart', 'tv', 'gw']","['pliss', 'disney', 'gada', 'tv', 'smart', 'samsung', 'kerjasama', 'sma', 'tizen', 'biar', 'nambah', 'keren', 'smart', 'tv', 'gw']","['pliss', 'disney', 'gada', 'tv', 'smart', 'samsung', 'kerjasama', 'sma', 'tizen', 'biar', 'nambah', 'keren', 'smart', 'tv', 'gw']",0,3,Netral,pliss disney gada tv smart samsung kerjasama sma tizen biar nambah keren smart tv gw
Aku kira nntn gratis sekalinya harus bayar dulu yh baru bisa nntn 😭,1,2022-11-16 14:16:49,Aku kira nntn gratis sekalinya harus bayar dulu yh baru bisa nntn 😭,aku kira nntn gratis sekalinya harus bayar dulu yh baru bisa nntn 😭,"['aku', 'kira', 'nntn', 'gratis', 'sekalinya', 'harus', 'bayar', 'dulu', 'yh', 'baru', 'bisa', 'nntn', '😭']","['nntn', 'gratis', 'sekalinya', 'bayar', 'yh', 'nntn', '😭']","['nntn', 'gratis', 'sekali', 'bayar', 'yh', 'nntn', '']",0,3,Netral,nntn gratis sekali bayar yh nntn 
Gk beres beres download nya lama,1,2022-11-16 14:01:43,Gk beres beres download nya lama,gk beres beres download nya lama,"['gk', 'beres', 'beres', 'download', 'nya', 'lama']","['gk', 'beres', 'beres', 'download', 'nya']","['gk', 'beres', 'beres', 'download', 'nya']",0,3,Netral,gk beres beres download nya
Kenapa paket yg otomatis dri pembelian kuota by.u tidak connect ke aplikasi disney hotstar,3,2022-11-16 11:30:02,Kenapa paket yg otomatis dri pembelian kuota by.u tidak connect ke aplikasi disney hotstar,kenapa paket yg otomatis dri pembelian kuota byu tidak connect ke aplikasi disney hotstar,"['kenapa', 'paket', 'yg', 'otomatis', 'dri', 'pembelian', 'kuota', 'byu', 'tidak', 'connect', 'ke', 'aplikasi', 'disney', 'hotstar']","['paket', 'yg', 'otomatis', 'dri', 'pembelian', 'kuota', 'byu', 'connect', 'aplikasi', 'disney', 'hotstar']","['paket', 'yg', 'otomatis', 'dri', 'beli', 'kuota', 'byu', 'connect', 'aplikasi', 'disney', 'hotstar']",-2,2,Negatif,paket yg otomatis dri beli kuota byu connect aplikasi disney hotstar
Best,5,2022-11-16 11:09:07,Terbaik,terbaik,['terbaik'],['terbaik'],['baik'],-1,2,Negatif,baik
Diupdate malah gak bisa nonton film yg di download. Harus download lagi gitu? Habisin kuota lagi gitu? SAMPAH 👎👎👎,1,2022-11-16 10:00:07,Diupdate malah gak bisa nonton film yg di download. Harus download lagi gitu? Habisin kuota lagi gitu? SAMPAH 👎👎👎,diupdate malah gak bisa nonton film yg di download harus download lagi gitu habisin kuota lagi gitu sampah 👎👎👎,"['diupdate', 'malah', 'gak', 'bisa', 'nonton', 'film', 'yg', 'di', 'download', 'harus', 'download', 'lagi', 'gitu', 'habisin', 'kuota', 'lagi', 'gitu', 'sampah', '👎👎👎']","['diupdate', 'gak', 'nonton', 'film', 'yg', 'download', 'download', 'gitu', 'habisin', 'kuota', 'gitu', 'sampah', '👎👎👎']","['diupdate', 'gak', 'nonton', 'film', 'yg', 'download', 'download', 'gitu', 'habisin', 'kuota', 'gitu', 'sampah', '']",-6,1,Negatif,diupdate gak nonton film yg download download gitu habisin kuota gitu sampah 
"Aneh banget ya...berapa kali aku coba untuk log in ke TV tetap nggak bisa,malah di minta masukan kode yg dikirim ke nomor hp yg di pakai log in. Nggak ada permintaan kode yg diarahkan dr tv. Tolong di perbaiki dong.",1,2022-11-16 08:07:57,"Aneh banget ya...berapa kali aku coba untuk log in ke TV tetap nggak bisa,malah di minta masukan kode yg dikirim ke nomor hp yg di pakai log in. Nggak ada permintaan kode yg diarahkan dr tv. Tolong di perbaiki dong.",aneh banget yaberapa kali aku coba untuk log in ke tv tetap nggak bisamalah di minta masukan kode yg dikirim ke nomor hp yg di pakai log in nggak ada permintaan kode yg diarahkan dr tv tolong di perbaiki dong,"['aneh', 'banget', 'yaberapa', 'kali', 'aku', 'coba', 'untuk', 'log', 'in', 'ke', 'tv', 'tetap', 'nggak', 'bisamalah', 'di', 'minta', 'masukan', 'kode', 'yg', 'dikirim', 'ke', 'nomor', 'hp', 'yg', 'di', 'pakai', 'log', 'in', 'nggak', 'ada', 'permintaan', 'kode', 'yg', 'diarahkan', 'dr', 'tv', 'tolong', 'di', 'perbaiki', 'dong']","['aneh', 'banget', 'yaberapa', 'kali', 'coba', 'log', 'in', 'tv', 'nggak', 'bisamalah', 'masukan', 'kode', 'yg', 'dikirim', 'nomor', 'hp', 'yg', 'pakai', 'log', 'in', 'nggak', 'permintaan', 'kode', 'yg', 'diarahkan', 'dr', 'tv', 'tolong', 'perbaiki']","['aneh', 'banget', 'yaberapa', 'kali', 'coba', 'log', 'in', 'tv', 'nggak', 'bisamalah', 'masuk', 'kode', 'yg', 'kirim', 'nomor', 'hp', 'yg', 'pakai', 'log', 'in', 'nggak', 'minta', 'kode', 'yg', 'arah', 'dr', 'tv', 'tolong', 'baik']",-27,1,Negatif,aneh banget yaberapa kali coba log in tv nggak bisamalah masuk kode yg kirim nomor hp yg pakai log in nggak minta kode yg arah dr tv tolong baik
"Ga bisa berlangganan lewat aplikasi, ini jelas bug, dulu bundling sama telkomsel skrg tidak",2,2022-11-16 08:07:23,"Ga bisa berlangganan lewat aplikasi, ini jelas bug, dulu bundling sama telkomsel skrg tidak",ga bisa berlangganan lewat aplikasi ini jelas bug dulu bundling sama telkomsel skrg tidak,"['ga', 'bisa', 'berlangganan', 'lewat', 'aplikasi', 'ini', 'jelas', 'bug', 'dulu', 'bundling', 'sama', 'telkomsel', 'skrg', 'tidak']","['ga', 'berlangganan', 'aplikasi', 'bug', 'bundling', 'telkomsel', 'skrg']","['ga', 'langgan', 'aplikasi', 'bug', 'bundling', 'telkomsel', 'skrg']",-2,2,Negatif,ga langgan aplikasi bug bundling telkomsel skrg
"Baru install di hp, ternyata gambarnya sendat sendat padahal spek hp ngga jelek juga dan koneksi via wifi.. Tlng developer ditunggu updatenya agar bug nya bisa hilang",2,2022-11-15 22:15:49,"Baru install di hp, ternyata gambarnya sendat sendat padahal spek hp ngga jelek juga dan koneksi via wifi.. Tlng developer ditunggu updatenya agar bug nya bisa hilang",baru install di hp ternyata gambarnya sendat sendat padahal spek hp ngga jelek juga dan koneksi via wifi tlng developer ditunggu updatenya agar bug nya bisa hilang,"['baru', 'install', 'di', 'hp', 'ternyata', 'gambarnya', 'sendat', 'sendat', 'padahal', 'spek', 'hp', 'ngga', 'jelek', 'juga', 'dan', 'koneksi', 'via', 'wifi', 'tlng', 'developer', 'ditunggu', 'updatenya', 'agar', 'bug', 'nya', 'bisa', 'hilang']","['install', 'hp', 'gambarnya', 'sendat', 'sendat', 'spek', 'hp', 'ngga', 'jelek', 'koneksi', 'via', 'wifi', 'tlng', 'developer', 'ditunggu', 'updatenya', 'bug', 'nya', 'hilang']","['install', 'hp', 'gambar', 'sendat', 'sendat', 'spek', 'hp', 'ngga', 'jelek', 'koneksi', 'via', 'wifi', 'tlng', 'developer', 'tunggu', 'updatenya', 'bug', 'nya', 'hilang']",-20,1,Negatif,install hp gambar sendat sendat spek hp ngga jelek koneksi via wifi tlng developer tunggu updatenya bug nya hilang
"Mau berlangganan aja susah amat sistem pembayarannya , transaksi ditolak terus",1,2022-11-15 17:19:11,"Mau berlangganan aja susah amat sistem pembayarannya , transaksi ditolak terus",mau berlangganan aja susah amat sistem pembayarannya transaksi ditolak terus,"['mau', 'berlangganan', 'aja', 'susah', 'amat', 'sistem', 'pembayarannya', 'transaksi', 'ditolak', 'terus']","['berlangganan', 'aja', 'susah', 'sistem', 'pembayarannya', 'transaksi', 'ditolak']","['langgan', 'aja', 'susah', 'sistem', 'bayar', 'transaksi', 'tolak']",-7,1,Negatif,langgan aja susah sistem bayar transaksi tolak
"Agak kecewa jika nontn di HP sering loading, tapi di TV sangat bagus, mohon di perbaiki jgn kalah ma yg lain seperti IQiyi atau pun Netflix",3,2022-11-15 15:29:31,"Agak kecewa jika nontn di HP sering loading, tapi di TV sangat bagus, mohon di perbaiki jgn kalah ma yg lain seperti IQiyi atau pun Netflix",agak kecewa jika nontn di hp sering loading tapi di tv sangat bagus mohon di perbaiki jgn kalah ma yg lain seperti iqiyi atau pun netflix,"['agak', 'kecewa', 'jika', 'nontn', 'di', 'hp', 'sering', 'loading', 'tapi', 'di', 'tv', 'sangat', 'bagus', 'mohon', 'di', 'perbaiki', 'jgn', 'kalah', 'ma', 'yg', 'lain', 'seperti', 'iqiyi', 'atau', 'pun', 'netflix']","['kecewa', 'nontn', 'hp', 'loading', 'tv', 'bagus', 'mohon', 'perbaiki', 'jgn', 'kalah', 'ma', 'yg', 'iqiyi', 'netflix']","['kecewa', 'nontn', 'hp', 'loading', 'tv', 'bagus', 'mohon', 'baik', 'jgn', 'kalah', 'ma', 'yg', 'iqiyi', 'netflix']",-11,1,Negatif,kecewa nontn hp loading tv bagus mohon baik jgn kalah ma yg iqiyi netflix
Padahal dah beli 1 paket sama internet di byu biasanya langsung bisa paketnya ini kenapaa sekarang malah gak bisa,1,2022-11-15 13:50:47,Padahal dah beli 1 paket sama internet di byu biasanya langsung bisa paketnya ini kenapaa sekarang malah gak bisa,padahal dah beli paket sama internet di byu biasanya langsung bisa paketnya ini kenapaa sekarang malah gak bisa,"['padahal', 'dah', 'beli', 'paket', 'sama', 'internet', 'di', 'byu', 'biasanya', 'langsung', 'bisa', 'paketnya', 'ini', 'kenapaa', 'sekarang', 'malah', 'gak', 'bisa']","['dah', 'beli', 'paket', 'internet', 'byu', 'langsung', 'paketnya', 'kenapaa', 'gak']","['dah', 'beli', 'paket', 'internet', 'byu', 'langsung', 'paket', 'kenapaa', 'gak']",5,5,Positif,dah beli paket internet byu langsung paket kenapaa gak
"Mau berlangganan aja transaksi ditolak terus, padahal udh deteksi finger print, tetep gabisa. Yauda, maap ya di uninstall🙃",1,2022-11-15 13:35:51,"Mau berlangganan aja transaksi ditolak terus, padahal udh deteksi finger print, tetep gabisa. Yauda, maap ya di uninstall🙃",mau berlangganan aja transaksi ditolak terus padahal udh deteksi finger print tetep gabisa yauda maap ya di uninstall🙃,"['mau', 'berlangganan', 'aja', 'transaksi', 'ditolak', 'terus', 'padahal', 'udh', 'deteksi', 'finger', 'print', 'tetep', 'gabisa', 'yauda', 'maap', 'ya', 'di', 'uninstall🙃']","['berlangganan', 'aja', 'transaksi', 'ditolak', 'udh', 'deteksi', 'finger', 'print', 'tetep', 'gabisa', 'yauda', 'maap', 'ya', 'uninstall🙃']","['langgan', 'aja', 'transaksi', 'tolak', 'udh', 'deteksi', 'finger', 'print', 'tetep', 'gabisa', 'yauda', 'maap', 'ya', 'uninstall']",0,3,Netral,langgan aja transaksi tolak udh deteksi finger print tetep gabisa yauda maap ya uninstall
Mau langganan gak bisa bisa eror terus parah,1,2022-11-15 12:27:00,Mau langganan gak bisa bisa eror terus parah,mau langganan gak bisa bisa eror terus parah,"['mau', 'langganan', 'gak', 'bisa', 'bisa', 'eror', 'terus', 'parah']","['langganan', 'gak', 'eror', 'parah']","['langgan', 'gak', 'eror', 'parah']",-7,1,Negatif,langgan gak eror parah
Disney hotstar gmn masa mau berlangganan gak bisa di tolak terus,1,2022-11-15 02:16:22,Disney hotstar gmn masa mau berlangganan gak bisa di tolak terus,disney hotstar gmn masa mau berlangganan gak bisa di tolak terus,"['disney', 'hotstar', 'gmn', 'masa', 'mau', 'berlangganan', 'gak', 'bisa', 'di', 'tolak', 'terus']","['disney', 'hotstar', 'gmn', 'berlangganan', 'gak', 'tolak']","['disney', 'hotstar', 'gmn', 'langgan', 'gak', 'tolak']",-2,2,Negatif,disney hotstar gmn langgan gak tolak
Knp agk lag y,3,2022-11-15 00:39:43,Knp agk lag y,knp agk lag y,"['knp', 'agk', 'lag', 'y']","['knp', 'agk', 'lag', 'y']","['knp', 'agk', 'lag', 'y']",0,3,Netral,knp agk lag y
"Padahal saldo dan info akun bener tapi transaksi di tolak mulu, niat jualan gak sih ni apk😑😑",1,2022-11-14 23:07:08,"Padahal saldo dan info akun bener tapi transaksi di tolak mulu, niat jualan gak sih ni apk😑😑",padahal saldo dan info akun bener tapi transaksi di tolak mulu niat jualan gak sih ni apk😑😑,"['padahal', 'saldo', 'dan', 'info', 'akun', 'bener', 'tapi', 'transaksi', 'di', 'tolak', 'mulu', 'niat', 'jualan', 'gak', 'sih', 'ni', 'apk😑😑']","['saldo', 'info', 'akun', 'bener', 'transaksi', 'tolak', 'mulu', 'niat', 'jualan', 'gak', 'sih', 'ni', 'apk😑😑']","['saldo', 'info', 'akun', 'bener', 'transaksi', 'tolak', 'mulu', 'niat', 'jual', 'gak', 'sih', 'ni', 'apk']",-2,2,Negatif,saldo info akun bener transaksi tolak mulu niat jual gak sih ni apk
"Udah berlangganan 1 tahun,terus keluar dari akunnya saat masuk login lagi ke akunnya harus beli berlangganan lagi Gimana pihak developernya, padahal belum 1 tahun tapi harus berlangganan lagi",2,2022-11-14 19:55:35,"Udah berlangganan 1 tahun,terus keluar dari akunnya saat masuk login lagi ke akunnya harus beli berlangganan lagi Gimana pihak developernya, padahal belum 1 tahun tapi harus berlangganan lagi",udah berlangganan tahunterus keluar dari akunnya saat masuk login lagi ke akunnya harus beli berlangganan lagi gimana pihak developernya padahal belum tahun tapi harus berlangganan lagi,"['udah', 'berlangganan', 'tahunterus', 'keluar', 'dari', 'akunnya', 'saat', 'masuk', 'login', 'lagi', 'ke', 'akunnya', 'harus', 'beli', 'berlangganan', 'lagi', 'gimana', 'pihak', 'developernya', 'padahal', 'belum', 'tahun', 'tapi', 'harus', 'berlangganan', 'lagi']","['udah', 'berlangganan', 'tahunterus', 'akunnya', 'masuk', 'login', 'akunnya', 'beli', 'berlangganan', 'gimana', 'developernya', 'berlangganan']","['udah', 'langgan', 'tahunterus', 'akun', 'masuk', 'login', 'akun', 'beli', 'langgan', 'gimana', 'developer', 'langgan']",0,3,Netral,udah langgan tahunterus akun masuk login akun beli langgan gimana developer langgan
"Udah gak ada promo free lagi dari telkomsel, auto uninstal, bye!",1,2022-11-14 11:32:20,"Udah gak ada promo free lagi dari telkomsel, auto uninstal, bye!",udah gak ada promo free lagi dari telkomsel auto uninstal bye,"['udah', 'gak', 'ada', 'promo', 'free', 'lagi', 'dari', 'telkomsel', 'auto', 'uninstal', 'bye']","['udah', 'gak', 'promo', 'free', 'telkomsel', 'auto', 'uninstal', 'bye']","['udah', 'gak', 'promo', 'free', 'telkomsel', 'auto', 'uninstal', 'bye']",3,4,Positif,udah gak promo free telkomsel auto uninstal bye
Kenapa ada series nya gak ada flimya?ha? Tapi selebihnya sih bagus.banyak flim yang bagus.....,4,2022-11-14 08:25:09,Kenapa ada series nya gak ada flimya?ha? Tapi selebihnya sih bagus.banyak flim yang bagus.....,kenapa ada series nya gak ada flimyaha tapi selebihnya sih bagusbanyak flim yang bagus,"['kenapa', 'ada', 'series', 'nya', 'gak', 'ada', 'flimyaha', 'tapi', 'selebihnya', 'sih', 'bagusbanyak', 'flim', 'yang', 'bagus']","['series', 'nya', 'gak', 'flimyaha', 'selebihnya', 'sih', 'bagusbanyak', 'flim', 'bagus']","['series', 'nya', 'gak', 'flimyaha', 'lebih', 'sih', 'bagusbanyak', 'flim', 'bagus']",-3,2,Negatif,series nya gak flimyaha lebih sih bagusbanyak flim bagus
Susah login tidak ada sma kode verifikasi pdhl udh langganan dr indihome,3,2022-11-14 06:43:46,Susah login tidak ada sma kode verifikasi pdhl udh langganan dr indihome,susah login tidak ada sma kode verifikasi pdhl udh langganan dr indihome,"['susah', 'login', 'tidak', 'ada', 'sma', 'kode', 'verifikasi', 'pdhl', 'udh', 'langganan', 'dr', 'indihome']","['susah', 'login', 'sma', 'kode', 'verifikasi', 'pdhl', 'udh', 'langganan', 'dr', 'indihome']","['susah', 'login', 'sma', 'kode', 'verifikasi', 'pdhl', 'udh', 'langgan', 'dr', 'indihome']",-4,2,Negatif,susah login sma kode verifikasi pdhl udh langgan dr indihome
Kenapa yah sekarang ngak bisa di tonton film n serisnya.. Padahal sinyal full kecepatan full terjadi kesalahan tulisannya,1,2022-11-14 06:11:16,Kenapa yah sekarang ngak bisa di tonton film n serisnya.. Padahal sinyal full kecepatan full terjadi kesalahan tulisannya,kenapa yah sekarang ngak bisa di tonton film n serisnya padahal sinyal full kecepatan full terjadi kesalahan tulisannya,"['kenapa', 'yah', 'sekarang', 'ngak', 'bisa', 'di', 'tonton', 'film', 'n', 'serisnya', 'padahal', 'sinyal', 'full', 'kecepatan', 'full', 'terjadi', 'kesalahan', 'tulisannya']","['yah', 'ngak', 'tonton', 'film', 'n', 'serisnya', 'sinyal', 'full', 'kecepatan', 'full', 'kesalahan', 'tulisannya']","['yah', 'ngak', 'tonton', 'film', 'n', 'serisnya', 'sinyal', 'full', 'cepat', 'full', 'salah', 'tulis']",-11,1,Negatif,yah ngak tonton film n serisnya sinyal full cepat full salah tulis
Saya Penguna awal coba pakai bulanan dengan membayar di Google play tapi tidak bisa di akses,1,2022-11-13 20:07:42,Saya Penguna awal coba pakai bulanan dengan membayar di Google play tapi tidak bisa di akses,saya penguna awal coba pakai bulanan dengan membayar di google play tapi tidak bisa di akses,"['saya', 'penguna', 'awal', 'coba', 'pakai', 'bulanan', 'dengan', 'membayar', 'di', 'google', 'play', 'tapi', 'tidak', 'bisa', 'di', 'akses']","['penguna', 'coba', 'pakai', 'bulanan', 'membayar', 'google', 'play', 'akses']","['penguna', 'coba', 'pakai', 'bulan', 'bayar', 'google', 'play', 'akses']",-3,2,Negatif,penguna coba pakai bulan bayar google play akses
"Akhirnya bisa tersambung ke TV, good 👍",5,2022-11-13 19:19:43,"Akhirnya bisa tersambung ke TV, good 👍",akhirnya bisa tersambung ke tv good 👍,"['akhirnya', 'bisa', 'tersambung', 'ke', 'tv', 'good', '👍']","['tersambung', 'tv', 'good', '👍']","['sambung', 'tv', 'good', '']",2,4,Positif,sambung tv good 
Saya kecewa mau nonton malah disuruh bayar!!!!!!!,2,2022-11-13 18:42:32,Saya kecewa mau nonton malah disuruh bayar!!!!!!!,saya kecewa mau nonton malah disuruh bayar,"['saya', 'kecewa', 'mau', 'nonton', 'malah', 'disuruh', 'bayar']","['kecewa', 'nonton', 'disuruh', 'bayar']","['kecewa', 'nonton', 'suruh', 'bayar']",-5,1,Negatif,kecewa nonton suruh bayar
"Ini kenapa yah kok mau berlangganan sebulan gabisa yah buat pembayaran nya juga close semua, bulanan juga gak ada",3,2022-11-13 17:25:28,"Ini kenapa yah kok mau berlangganan sebulan gabisa yah buat pembayaran nya juga close semua, bulanan juga gak ada",ini kenapa yah kok mau berlangganan sebulan gabisa yah buat pembayaran nya juga close semua bulanan juga gak ada,"['ini', 'kenapa', 'yah', 'kok', 'mau', 'berlangganan', 'sebulan', 'gabisa', 'yah', 'buat', 'pembayaran', 'nya', 'juga', 'close', 'semua', 'bulanan', 'juga', 'gak', 'ada']","['yah', 'berlangganan', 'sebulan', 'gabisa', 'yah', 'pembayaran', 'nya', 'close', 'bulanan', 'gak']","['yah', 'langgan', 'bulan', 'gabisa', 'yah', 'bayar', 'nya', 'close', 'bulan', 'gak']",-5,1,Negatif,yah langgan bulan gabisa yah bayar nya close bulan gak
Sudah hampir 1 bulan ini gak bisa diputar di semua perangkat. Itu kenapa ya?,1,2022-11-13 16:46:46,Sudah hampir 1 bulan ini gak bisa diputar di semua perangkat. Itu kenapa ya?,sudah hampir bulan ini gak bisa diputar di semua perangkat itu kenapa ya,"['sudah', 'hampir', 'bulan', 'ini', 'gak', 'bisa', 'diputar', 'di', 'semua', 'perangkat', 'itu', 'kenapa', 'ya']","['gak', 'diputar', 'perangkat', 'ya']","['gak', 'putar', 'perangkat', 'ya']",4,4,Positif,gak putar perangkat ya
Aslikeren,5,2022-11-13 16:07:56,Asliker,asliker,['asliker'],['asliker'],['asliker'],0,3,Netral,asliker
"Always freeze, please fix",1,2022-11-13 14:57:14,"Selalu freeze, mohon diperbaiki",selalu freeze mohon diperbaiki,"['selalu', 'freeze', 'mohon', 'diperbaiki']","['freeze', 'mohon', 'diperbaiki']","['freeze', 'mohon', 'baik']",-3,2,Negatif,freeze mohon baik
